hospital_sample_size,strategy,estimand,target_parameter,reference_parameter,reference_target_discrepancy,mean_estimate,bias,bias_mcse,relative_bias_percent,empirical_sd,empirical_variance,rmse,rmse_mcse,mean_estimated_se,se_to_esd_ratio,target_coverage,reference_coverage,mean_interval_width,mean_half_width,mean_positive_cases,mean_hard_positive_cases,mean_observed_patients,mean_observed_priority_share,mean_observed_hard_share,replications_estimable,target_coverage_mcse,non_estimable_rate,non_estimable_mcse,pr_bias_pass,pr_precision_pass,interval_validity_pass,reference_interval_validity_pass,variance_method_compatible,pr_point_estimation_pass,full_evidential_pass
40,N1,easy,0.948003714020427,0.948003714020427,0,0.947963158825055,-4.0555195371777e-05,0.00016534891619751,-0.00427795743539704,0.0116919339905106,0.000136701320438457,0.0116908350813037,0.000119113844706503,0.011651118887582,0.996509123044853,0.9566,0.9566,0.0468812623343443,0.0234406311671721,323.1014,158.6566,2558,0.244726661454261,0.206346833463643,5000,0.00288154264240528,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40,N1,hard,0.736775818639798,0.736775818639798,0,0.736865352963799,8.95343240002211e-05,0.000470369379931289,0.0121521800437907,0.0332601378211926,0.00110623676788472,0.0332569321634802,0.000341261214993823,0.0331145787752808,0.995623618678483,0.9496,0.9496,0.129424363192596,0.0647121815962979,158.6566,158.6566,2558,0.244726661454261,0.206346833463643,5000,0.00309385972532693,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
40,N1,national,0.878398007885453,0.878398007885453,0,0.878450871731038,5.28638455841521e-05,0.000199275407921475,0.00601821100567042,0.014090899226499,0.000198553441011351,0.0140895892384881,0.000145189693592005,0.0141035511894879,1.00089788187294,0.9534,0.9534,0.0555106603174921,0.0277553301587461,481.758,158.6566,2558,0.244726661454261,0.206346833463643,5000,0.00298088711627931,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40,N2,easy,0.948003714020427,0.948003714020427,-1.11022302462516e-16,0.947826852365579,-0.000176861654848374,0.000213187863343741,-0.0186562196152496,0.015074658383703,0.000227245325385348,0.0150741884148111,0.000148963414432757,0.0147115169976354,0.975910473270812,0.9448,0.9448,0.0601698719590532,0.0300849359795266,323.3558,158.9606,2560.797,0.2448805381975,0.206503337638076,5000,0.00322964270469661,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40,N2,hard,0.736775818639798,0.736775818639798,0,0.736611778784067,-0.000164039855732026,0.000770374611375786,-0.0222645547779879,0.054473711175777,0.00296738520926197,0.054468510547787,0.000529750409568527,0.0517198926279051,0.949446834290658,0.912,0.912,0.201019537614291,0.100509768807146,158.9606,158.9606,2560.797,0.2448805381975,0.206503337638076,5000,0.00400639488817565,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
40,N2,national,0.878398007885453,0.878398007885453,0,0.87836327209851,-3.47357869429636e-05,0.000336439166146385,-0.00395444737250511,0.0237898415838856,0.000565956562586374,0.0237874878423248,0.000239959474624915,0.0229524793190358,0.964801688069373,0.9222,0.9222,0.0909736210557954,0.0454868105278977,482.3164,158.9606,2560.797,0.2448805381975,0.206503337638076,5000,0.00378806441339109,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
40,N3,easy,0.948003714020427,0.942436702012551,-0.00556701200787579,0.941912423361493,-0.00609129065893385,0.00023111671536548,-0.642538691446793,0.0163424196680492,0.000267074680606641,0.0174391825370954,0.000184869405817257,0.0160164691093809,0.980054938908126,0.922,0.944,0.0652858046672006,0.0326429023336003,308.084,236.4568,2541.2022,0.493458631430633,0.291050200547019,5000,0.00379251895183135,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
40,N3,hard,0.736775818639798,0.710985915492958,-0.0257899031468407,0.709756454681361,-0.027019363958438,0.000661803206028282,-3.66724358683757,0.0467965534793596,0.00218991741754656,0.0540326333134115,0.000554447417060174,0.0452155805785172,0.966216039787211,0.8876,0.9298,0.175890795574682,0.0879453977873412,236.4568,236.4568,2541.2022,0.493458631430633,0.291050200547019,5000,0.00446690586424205,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
40,N3,national,0.878398007885453,0.841879818871619,-0.0365181890138343,0.841268608896591,-0.0371293989888623,0.00035866846054941,-4.22694480811073,0.0253616900652227,0.000643215322964418,0.044963084293384,0.000347150814688912,0.0250658599129749,0.988335550529673,0.6294,0.935,0.0987043028667717,0.0493521514333859,544.5408,236.4568,2541.2022,0.493458631430633,0.291050200547019,5000,0.00683016310200569,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
40,N4,easy,0.948003714020427,0.942436702012551,-0.00556701200787579,0.947379801220719,-0.000623912799708569,0.000231219469026241,-0.0658133286274367,0.0163496854490808,0.000267312214283884,0.0163599516815505,0.000173157383827123,0.0159397261514682,0.97492555444633,0.9356,0.9236,0.0656025979659902,0.0328012989829951,308.084,236.4568,2541.2022,0.493458631430633,0.291050200547019,5000,0.00347138704266753,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
40,N4,hard,0.736775818639798,0.710985915492958,-0.0257899031468407,0.73512028370301,-0.00165553493678859,0.000612677147069147,-0.224699955523101,0.0433228165370621,0.00187686643270395,0.0433501079046446,0.000443890402671618,0.0424488755760014,0.979827235832807,0.938,0.898,0.165518074999461,0.0827590374997303,236.4568,236.4568,2541.2022,0.493458631430633,0.291050200547019,5000,0.00341045451516363,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
40,N4,national,0.878398007885453,0.841879818871619,-0.0365181890138343,0.877575034441737,-0.000822973443716032,0.000293103003554112,-0.0936902675470721,0.0207255121399257,0.000429546853462209,0.0207397740918405,0.000216735608456657,0.0205323803421387,0.990681446302358,0.9456,0.6506,0.0811691623317011,0.0405845811658506,544.5408,236.4568,2541.2022,0.493458631430633,0.291050200547019,5000,0.0032075111847038,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
40,N5,easy,0.948003714020427,0.942436702012551,-0.00556701200787579,0.947379801220719,-0.000623912799708569,0.000231219469026241,-0.0658133286274367,0.0163496854490808,0.000267312214283884,0.0163599516815505,0.000173157383827123,0.0134780324462175,0.824360351652835,0.9008,0.8946,0.0547023041315674,0.0273511520657837,308.084,236.4568,2541.2022,0.493458631430633,0.291050200547019,5000,0.00422751369010202,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,N5,hard,0.736775818639798,0.710985915492958,-0.0257899031468407,0.73512028370301,-0.00165553493678859,0.000612677147069147,-0.224699955523101,0.0433228165370621,0.00187686643270395,0.0433501079046446,0.000443890402671618,0.0314220274774978,0.725299737855608,0.844,0.7924,0.122835123542163,0.0614175617710813,236.4568,236.4568,2541.2022,0.493458631430633,0.291050200547019,5000,0.00513154947359957,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,N5,national,0.878398007885453,0.841879818871619,-0.0365181890138343,0.877575034441737,-0.000822973443716032,0.000293103003554112,-0.0936902675470721,0.0207255121399257,0.000429546853462209,0.0207397740918405,0.000216735608456657,0.0143668882480308,0.69319822598518,0.8282,0.4058,0.0565518353828618,0.0282759176914309,544.5408,236.4568,2541.2022,0.493458631430633,0.291050200547019,5000,0.00533450578779328,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,N1,easy,0.948003714020427,0.948003714020427,0,0.947840219599751,-0.00016349442067617,0.000110529132899973,-0.0172461793406695,0.00781558993922401,6.10834460980995e-05,0.00781651839596582,8.07749256205847e-05,0.007802328810344,0.998303246590069,0.951,0.951,0.0309353205981762,0.0154676602990881,646.2686,317.5316,5117,0.245057885479773,0.206532577682236,5000,0.00305283474822991,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
80,N1,hard,0.736775818639798,0.736775818639798,0,0.737268660390548,0.000492841750749772,0.000313355723036414,0.0668916837769776,0.0221575956682662,0.000490959045798367,0.0221608607003539,0.000219716940103775,0.022076418391216,0.996336367976674,0.9496,0.9496,0.086423018415796,0.043211509207898,317.5316,317.5316,5117,0.245057885479773,0.206532577682236,5000,0.00309385972532693,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
80,N1,national,0.878398007885453,0.878398007885453,0,0.878463578809621,6.55709241670708e-05,0.000132154750440118,0.00746483070071141,0.00934475202022235,8.73243903194496e-05,0.00934404756984262,9.38770418391148e-05,0.00940807808633778,1.00677664489955,0.9554,0.9554,0.0369453663994554,0.0184726831997277,963.8002,317.5316,5117,0.245057885479773,0.206532577682236,5000,0.00291927525252416,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
80,N2,easy,0.948003714020427,0.948003714020427,-1.11022302462516e-16,0.947848721488885,-0.000154992531541981,0.000141066898152399,-0.0163493591058485,0.00997493602845135,9.94993487716967e-05,0.00997514268503344,0.000100302936718901,0.00992664111965695,0.995158374083137,0.947,0.947,0.0396465032139164,0.0198232516069582,646.1836,318.0884,5116.3408,0.24502960335314,0.206642918051377,5000,0.00316831185333767,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
80,N2,hard,0.736775818639798,0.736775818639798,0,0.736276279562282,-0.000499539077516471,0.000506369683100823,-0.0678006884697569,0.0358057436707875,0.00128205127981814,0.0358056477228403,0.000365246185235053,0.0354229254979592,0.989308470273705,0.9338,0.9338,0.138340288467648,0.0691701442338239,318.0884,318.0884,5116.3408,0.24502960335314,0.206642918051377,5000,0.00351617860752266,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
80,N2,national,0.878398007885453,0.878398007885453,0,0.8781175512853,-0.000280456600153847,0.000222033595482454,-0.0319281917349726,0.0157001461016874,0.000246494587614329,0.015701081001045,0.000158815400719905,0.0155475444481016,0.990280239903665,0.9414,0.9414,0.0612462363074115,0.0306231181537057,964.272,318.0884,5116.3408,0.24502960335314,0.206642918051377,5000,0.00332162731202644,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
80,N3,easy,0.948003714020427,0.942436702012551,-0.00556701200787579,0.942319629747052,-0.0056840842733749,0.000148315511252884,-0.59958459964983,0.0104874903762064,0.000109987454391021,0.0119278778886678,0.000120728206126872,0.0103891473714415,0.990622827651126,0.907,0.9464,0.04138743091932,0.02069371545966,616.6594,473.5384,5083.518,0.493460607874334,0.291241896850559,5000,0.00410733490234239,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
80,N3,hard,0.736775818639798,0.710985915492958,-0.0257899031468407,0.710602495424293,-0.0261733232155056,0.000400083583434235,-3.55241344155751,0.0282901814887761,0.000800334368667892,0.0385385151496199,0.000355604202562596,0.0283697330367595,1.00281198436337,0.8422,0.9474,0.1108856868374,0.0554428434186998,473.5384,473.5384,5083.518,0.493460607874334,0.291241896850559,5000,0.00515556320880658,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
80,N3,national,0.878398007885453,0.841879818871619,-0.0365181890138343,0.841721166830183,-0.0366768410552701,0.000221387762165605,-4.17542397933727,0.0156544787899014,0.000245062706183472,0.0398773665559272,0.000216316493302021,0.0157444698017528,1.00574857924427,0.2882,0.9468,0.0618286174328375,0.0309143087164187,1090.1978,473.5384,5083.518,0.493460607874334,0.291241896850559,5000,0.00640532216207741,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
80,N4,easy,0.948003714020427,0.942436702012551,-0.00556701200787579,0.947813213954624,-0.000190500065803297,0.000154965101170172,-0.0200948649236191,0.0109576873884688,0.000120070912903409,0.0109582475330638,0.000110860743319344,0.0108240739588335,0.987806420743854,0.9406,0.9174,0.043379576206538,0.021689788103269,616.6594,473.5384,5083.518,0.493460607874334,0.291241896850559,5000,0.00334280241713446,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
80,N4,hard,0.736775818639798,0.710985915492958,-0.0257899031468407,0.736435069707931,-0.000340748931867288,0.000385428369357599,-0.0462486584448935,0.0272539013634432,0.000742775139528289,0.0272533061175145,0.000289464017514573,0.0273641840583013,1.00404649203751,0.9422,0.856,0.107037720973036,0.0535188604865182,473.5384,473.5384,5083.518,0.493460607874334,0.291241896850559,5000,0.00330027756408457,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
80,N4,national,0.878398007885453,0.841879818871619,-0.0365181890138343,0.878187274823741,-0.000210733061712056,0.000190338986787711,-0.0239906124353981,0.0134589988281767,0.000181144649456862,0.0134593026918288,0.000134427365526539,0.0134648559622113,1.00043518348648,0.9492,0.3186,0.0529750519502078,0.0264875259751039,1090.1978,473.5384,5083.518,0.493460607874334,0.291241896850559,5000,0.00310545842026584,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
80,N5,easy,0.948003714020427,0.942436702012551,-0.00556701200787579,0.947813213954624,-0.000190500065803297,0.000154965101170172,-0.0200948649236191,0.0109576873884688,0.000120070912903409,0.0109582475330638,0.000110860743319344,0.00956602698666538,0.872996887713011,0.9132,0.889,0.0381495962528871,0.0190747981264435,616.6594,473.5384,5083.518,0.493460607874334,0.291241896850559,5000,0.00398160168776336,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
80,N5,hard,0.736775818639798,0.710985915492958,-0.0257899031468407,0.736435069707931,-0.000340748931867288,0.000385428369357599,-0.0462486584448935,0.0272539013634432,0.000742775139528289,0.0272533061175145,0.000289464017514573,0.0222111436824108,0.814971162704932,0.893,0.7518,0.0869467309714805,0.0434733654857402,473.5384,473.5384,5083.518,0.493460607874334,0.291241896850559,5000,0.00437152147426957,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
